proxy_cp	hangul	hangul_cp
U+7AE5	숭	U+C22D
U+7AEA	숲	U+C232
U+7AF9	숴	U+C234
U+7AFA	쉈	U+C248
U+7B08	쉬	U+C26C
U+7B25	쉴	U+C274
U+7B39	쉽	U+C27D
U+7B4F	슈	U+C288
U+7B51	슌	U+C28C
U+7B86	슐	U+C290
U+7B8D	스	U+C2A4
U+7B94	슨	U+C2A8
U+7B95	슬	U+C2AC
U+7BAA	슴	U+C2B4
U+7BAD	습	U+C2B5
U+7BB1	슷	U+C2B7
U+7BB8	승	U+C2B9
U+7BE0	시	U+C2DC
U+7BED	식	U+C2DD
U+7C38	신	U+C2E0
U+7C3E	싣	U+C2E3
U+7C7E	실	U+C2E4
U+7C81	싫	U+C2EB
U+7C82	심	U+C2EC
U+7C8D	십	U+C2ED
U+7C95	싯	U+C2EF
U+7C9F	싱	U+C2F1
U+7CA5	싶	U+C2F6
U+7CA7	싸	U+C2F8
U+7CCA	싹	U+C2F9
U+7CCE	싼	U+C2FC
U+7CD6	쌀	U+C300
U+7CDE	쌌	U+C30C
U+7CDF	쌍	U+C30D
U+7CE0	쌓	U+C313
U+7CFE	써	U+C368
U+7D10	썩	U+C369
U+7D17	썬	U+C36C
U+7D18	썰	U+C370
U+7D19	썼	U+C37C
U+7D21	쎄	U+C384
U+7D2B	쏘	U+C3D8
U+7D2C	쏜	U+C3DC
U+7D3A	쏟	U+C3DF
U+7D43	쏠	U+C3E0
U+7D62	쏴	U+C3F4
U+7D79	쐈	U+C408
U+7D9C	쑤	U+C464
U+7DAC	쓰	U+C4F0
U+7DB4	쓴	U+C4F4
U+7DBB	쓸	U+C4F8
U+7DBE	씀	U+C500
U+7DCB	씁	U+C501
U+7DEC	씌	U+C50C
U+7E1E	씐	U+C510
U+7E2B	씨	U+C528
U+7E4D	씩	U+C529
U+7E82	씬	U+C52C
U+7E8F	씹	U+C539
U+7F36	씻	U+C53B
U+7F6B	씽	U+C53D
U+7FA8	아	U+C544
U+7FC1	악	U+C545
U+7FCC	안	U+C548
U+7FE0	앉	U+C549
U+7FEB	않	U+C54A
U+7FF0	알	U+C54C
U+7FF3	앓	U+C553
U+8015	암	U+C554
U+803D	압	U+C555
U+806F	앗	U+C557
U+807E	았	U+C558
U+8087	앙	U+C559
U+808B	앞	U+C55E
U+8096	애	U+C560
U+80B1	액	U+C561
U+80BA	앤	U+C564
U+8102	앨	U+C568
U+810A	앱	U+C571
U+8139	앴	U+C574
U+814B	앵	U+C575
U+814E	야	U+C57C
U+8154	약	U+C57D
U+816B	얀	U+C580
U+8178	얌	U+C58C
U+817A	얏	U+C58F
U+817F	양	U+C591
U+818F	얕	U+C595
U+81BF	얘	U+C598
U+81E5	어	U+C5B4
U+81FC	억	U+C5B5
